等级,法术名称,派系,施法时间,施法距离,法术成分,持续时间,专注,豁免,仪式,施法材料,法术说明,法术升阶,诗人,牧师,德鲁伊,圣武士,游侠,术士,邪术士,法师
4,Stone Shape 塑石术,变化,1个动作,接触,V S M,立即,,,,软粘土，必须捏成你想塑造的大致形状,你触碰一个体积为中型或更小的石质物体或一部分长宽高都不超过五英尺的岩石，将它塑造成你想要的任何形状。比如你可以把一块大石头变成一件武器、一尊偶像、一具棺材，也可以在石墙上开出一条小通道，前提是墙的厚度不能超过五英尺。你也可以使一扇石门或石质门框变形来将门封死。你创造的物体最多可以有两条铰链和一道闩，但不能塑造出更复杂的机械结构。,,,牧师,德鲁伊,,,,,法师
4,Stoneskin 石肤术,防护,1个动作,接触,V S M,1小时,专注,,,消耗价值100金币的钻石粉尘,这道法术使你触碰的一个自愿生物的皮肤变得硬如岩石。在法术结束前，法术目标对非魔法的钝击、穿刺和挥砍伤害具有抗力。,,,,德鲁伊,,游侠,术士,,法师
9,Storm of Vengeance 复仇风暴,咒法,1个动作,视距,V S,1分钟,专注,体质/敏捷,,,"以你能看见的一点为中心，一团翻腾搅动的乌云逐渐成形，并且一直扩散到半径360英尺。这片区域内电闪雷鸣、狂风呼啸。在云团出现时，所有位于云团下方的生物（处于云团下方5,000英尺内）必须要进行一次体质豁免检定。若失败，该生物将受到2d6点雷鸣伤害并且会耳聋5分钟。
你每维持一轮该法术的专注，这风暴就会在你的回合中产生新的效果：
第二轮：云层中降下酸雨。所有位于云团下方的生物和物体受到1d6点强酸伤害。
第三轮：你从云中召下六道雷电击向你选中的六个位于云团下的生物或物体。任何一个生物或物体都不会被雷电击中两次。遭到雷击的生物必须要进行一次敏捷豁免检定，若失败则受到10d6点闪电伤害，若豁免成功则伤害减半。
第四轮：冰雹从云团中倾泻而下。所有位于云团下方的生物受到2d6点钝击伤害。
第五到第十轮：狂风和冻雨朝着云团下的区域袭来。这片区域变为困难地形并受到重度遮蔽。这片区域内的所有生物受到1d6点寒冷伤害。在这片区域中无法进行远程武器攻击。这里的强风和暴雨在维持法术专注时视为严重干扰。还有，这片区域中的烈风（风速在每小时20英里到50英里之间）会自动吹散区域内的一切烟、雾和其他类似的现象，包括魔法的和非魔法的。",,,,德鲁伊,,,,,
2,Suggestion 暗示术,附魔,1个动作,30尺,V M,8小时,专注,感知,,一条蛇舌加上一小块蜂巢或一滴橄榄油,"选择法术距离内一个你可以看见的生物。你暗示目标进行某种行动（最多一两句话），通过魔力影响它的行为。目标必须能够听见并理解你说的话。免疫惑控效果的生物不受该法术影响。你的暗示言辞必须能让那种活动听上去合情合理。如果你要求目标生物刺伤它自己、主动去撞一根矛、自焚或作出其他明显的自残行为，法术将自动失效。
目标必须进行一次感知豁免检定。若豁免失败，它将全力以赴去进行你所说的行动。受术者将在法术持续时间内始终遵循被暗示的行动。如果该行动很快达成，则受术者达到目标后法术即告结束。
你也可以设定特殊条件来触发受术者的行为。例如，你可以暗示一位骑士，让她把她的战马送给她遇见的第一个乞丐。如果在法术时效结束前未达成触发条件，则受术者不会做出被暗示的行为。
如果你或你的任何一个同伴伤害了受术者，则该法术立刻结束。",,诗人,,,,,术士,邪术士,法师
6,Sunbeam 阳炎射线,塑能,1个动作,自身（60尺直线）,V S M,1分钟,专注,体质,,一面放大镜,"一道耀眼的光线从你手中射出。光线是一条宽5英尺、长60英尺的直线。所有处在直线上的生物必须要进行一次体质豁免检定。若一个生物豁免失败，则该生物受到6d8点光耀伤害，并且在你的下一回合前变为目盲。若豁免成功，则它只受一半伤害，而且不会目盲。不死生物和泥怪在这次豁免检定上有劣势。
在法术结束前，你在任一回合都可以花费一个动作来创造出一道新的光之线。
在法术时效内，你的手中有一颗光芒耀眼的小颗粒。它的光芒让附近30尺内的光照强度变为明亮，更远处30尺内的光照强度则变为微光。这颗粒的光芒视为太阳光。",,,,德鲁伊,,,术士,,法师
8,Sunburst 阳炎爆,塑能,1个动作,150尺,V S M,立即, ,,,一片日长石和一团明火,"以法术射程内你选中的一点为中心，半径60英尺的区域内闪现出耀眼的阳光。所有位于这片光芒中的生物必须要进行一次体质豁免检定。若一个生物豁免失败，则该生物受到12d6点光耀伤害并且被目盲一分钟。若豁免成功，则它只受一半伤害，而且不会目盲。不死生物和泥怪在这次豁免检定上有劣势。
被这道法术目盲的生物在它的每个回合结束时都可以再进行一次体质豁免检定。若成功，则它不再目盲。
这道法术将驱散法术区域内所有被法术创造出的黑暗。",,,,德鲁伊,,,术士,,法师
5,Swift Quiver 迅捷箭袋,变化,1个附加动作,接触,V S M,1分钟,专注,,,一个箭袋，里面至少要有一发弹药,"你在你的箭袋上施放法术，使它能凭空造出无穷无尽的弹药，你只要把手伸进箭袋里就会有弹药自己跳到你的手中。
在法术结束前，你在每一回合都可以花费一个附赠动作来使用一件武器射击两次（该武器使用的弹药必须是迅捷箭袋里装有的）。每次你这样射击之后，你的箭袋上的魔法便会自动创造出一发同样的弹药来补充刚刚用掉的那一发。在法术结束时，该法术创造出来的所有弹药都会碎裂瓦解。如果你失去了这个箭袋，则该法术即刻结束。",,,,,,游侠,,,
7,Symbol 徽记术,防护,1分钟,接触,V S M,直到被解除或触发,专注,智力/多种,,"水银和磷，以及分别价值至少1,000金币的钻石和猫眼石粉末，施法时消耗","当你施放这道法术时，你在某个地方刻下了一个危险的法印。这个法印可以刻在一个平面上（如一块地板、一堵墙或一张桌子上）或刻在一个可以关闭起来隐藏该法印的物体中（如一本书、一卷卷轴或一个宝箱里）。如果你选择把法印刻在平面上，则法印不能覆盖直径大于10英尺的区域。如果选择把它刻在物体内，则这件物体必须留在它原先的位置不动；如果这件物体离开你施放该法术的位置超过10英尺，则法印将被打破，法术没有被触发就结束了。
这个法印几乎是看不见的。其他生物必须要进行一次智力（调查）检定对抗你的法术豁免DC并且在对抗中胜出才能找到法印。
你在施放这道法术时决定该法印的触发条件。对于刻在平面上的法印，比较典型的触发条件有：触碰或踩到法印、移走一个盖住法印的其他物体、进入法印附近一定距离内，或者对刻有法印的物体进行操作。对于刻在物体内的法印，最常用的触发条件是：开启刻有法印的物体、进入刻有法印的物体附近一定距离内，或者是看见法印。
你还可以进一步修改法印的触发条件，使得该法术只在特殊条件下生效，或让它只能被有特定体征\特定种类的生物触发（如一个陷阱可以设定为只能被特定身高或体重的生物触发，或者可以设定为只影响鬼婆和变形怪）。你也可以特别指定哪些生物不会触发法印，例如说出特定口令的。
当你刻下法印时，从下面的选项中选一项作为它的效果。一旦法印被触发，它就会开始发光，使周围60英尺半径的球形区域内充满微光长达10分钟。这10分钟过完后法术便告结束。在法印生效时，所有位于这个球形区域内的生物都会成为它的效果的目标。当一个生物在它的回合中第一次进入这个球形区域内或在其中结束它的回合时，它也同样会成为法印的效果的目标。
死亡。所有目标都要进行一次体质豁免检定，失败则受到10d10点暗蚀伤害，成功则只受一半伤害。
争斗。所有目标都要进行一次体质豁免检定。若一个目标豁免失败，则它在接下来的一分钟内将不停地与其他生物争吵。在这段时间内它无法进行任何有意义的沟通，而且在所有攻击检定和属性鉴定上都有劣势。
恐惧。所有目标都要进行一次感知豁免检定，失败则陷入恐慌长达一分钟。在陷入恐慌时，该生物将丢弃它握持的一切东西，并且在它的每一回合中都要向远离的方向移动至少30英尺——只要它能做到。
绝望。所有目标都要进行一次魅力豁免检定，失败则陷入绝望长达一分钟。在这段时间内它不能进行攻击，也不能对任何生物使用有害的特技、法术或其他魔法效果。
疯狂。所有目标都要进行一次智力豁免检定，失败则陷入疯狂长达一分钟。疯狂的生物不能进行动作，听不懂其他生物的话，看不懂任何文字，而且只会胡言乱语。由DM来控制它移动（它的移动是混乱且毫无章法的）。
苦痛。所有目标都要进行一次体质豁免检定，若失败则会因为极度的痛苦而在一分钟内陷入乏力状态。
睡眠。所有目标都要进行一次感知豁免检定，若失败则会昏迷长达十分钟。若睡眠者受到伤害或有人消耗一个动作来把睡眠者振醒\打醒，则睡眠者立刻醒来。
震慑。所有目标都要进行一次感知豁免检定，失败则被震慑长达一分钟。",,诗人,牧师,,,,,,法师
1,Tasha's Hideous Laughter 塔莎狂笑术,附魔,1个动作,30尺,V S M,1分钟,专注,感知,,一些小甜饼和羽毛，羽毛要在空中挥舞,"你选择法术距离内一个你能看见的生物。如果该生物受到了法术的影响，则一切事物在该生物眼中都变得滑稽可笑，使它开始狂笑起来。目标要进行一次感知豁免检定，若失败就将倒在地上，在法术时效内陷入乏力状态并且无法站起来。智力值为4或更低的生物不受影响。
目标在它的每回合结束时以及受到伤害时可以再进行一次感知豁免检定。如果是受到伤害导致这次豁免，则目标在这次豁免检定上有优势。若豁免成功，则法术结束。",,诗人,,,,,,,法师
5,Telekinesis 心灵遥控,变化,1个动作,60尺,V S,10分钟,专注,,,,"你靠意念就能移动或操纵生物或物体。当你施放该法术时（或在法术射程内使用一个动作），你能对法术距离内一个你能看见的生物或物体运用你的意念来造成下面详述的效果。你可以一轮接一轮地影响同一个目标，也可以在任何时候选择一个新的目标。如果你改变了目标，之前的目标就不再受该法术影响。
对生物：你可以尝试移动一个巨型或更小的生物。使用你的施法属性进行一次属性检定来与目标生物的力量检定进行比试。如果你在比试中胜出，你可以使该生物朝任何方向（包括竖直向上）移动30英尺，但不能让它离开法术距离。在你的下一回合结束前，该生物将被你的遥控抓握束缚住。被朝正上方抬起的生物会在半空中悬停。
在后面的回合中，你可以再次进行前面进行过的的比试来尝试继续抓住该生物（消耗一个动作）。
对物体：你可以尝试移动一个重量不超过1,000磅的物体。如果该物品没有被哪个生物穿戴着或携带着，你可以自动使它朝任何方向移动30英尺，但不能让它离开法术距离。
如果该物体正被物穿戴着或携带着，你必须要使用你的施法属性进行一次属性检定来与目标生物的力量检定进行比试。如果你在比试中胜出，你可以把目标物体从该生物的身上拿走，并且使该物体朝任何方向移动30英尺（但不能让它离开法术距离）。
你可以使用心灵遥控来对物体进行精密操作，例如操纵一件简单的工具、打开一扇门或一个容器、把东西放进或拿出一个打开的容器中，或者把一个小瓶子里的东西倒出来。",,,,,,,术士,,法师
8,Telepathy 心灵感应,塑能,1个动作,无限,V S M,24小时, ,,,一对相连的银戒指,"你在你自己和一个自愿的、你所熟识的生物之间建立心灵连接。目标生物可以位于你所在的存在位面上任何一点。若你和目标不再位于同一位面上，则法术立刻结束。
在法术结束前，通过心灵连接，你和目标生物可以即时与对方分享言语、图像、声音以及其他感官信息，并且目标能认出它在与之交流的对象是你。该法术允许智力值至少为1的生物理解你的言语以及任何你发送给它的感官信息。",,,,,,,,,法师
7,Teleport 传送术,咒法,1个动作,10尺,V,立即, ,,,,"这道法术能即时将你以及法术距离内你能看见的最多八个自愿生物——或法术距离内你能看见的一个物体——传送到你选择的地点。如果你选择一个物体作为法术目标，则该物体必须能被整个放进一个边长10英尺的正方体中，而且必须没有被一个非自愿的生物穿戴着或携带着。
你只能选择你知道的地点作为传送目的地，而且目的地必须和你位于同一个存在位面上。你对目的地的熟悉程度决定你是否能成功抵达。DM要投掷一个d100并查阅下表。

熟悉程度　　　　遇难　　相似地区　　目标错误　　目标正确
永久法阵　　　　—　　　—　　　　　—　　　　　01-100
相关物品　　　　—　　　—　　　　　—　　　　　01-100
非常熟悉　　　　01-05　 06-13　　　 14-24　　　 25-100
偶尔见过　　　　01-33　 34-43　　　 44-53　　　 54-100
见过一次　　　　01-43　 44-53　　　 54-73　　　 74-100
听过描述　　　　01-43　 44-53　　　 54-73　　　 74-100
查无此地　　　　01-50　 51-100　　　—　　　　　—

熟悉程度：“永久法阵”指是你知道符文序列的永久性传送法阵。“相关物品”是说你持有一件在过去六个月内从目标地点取来的物件，例如某个法师图书馆内的一本书、某个皇家卧室里床上的亚麻线，或某个巫妖的陵墓里的一块大理石。
“非常熟悉”指的是你常去的地方，你仔细研究过的地方，或是你在施放该法术时能看见的地方。“偶尔见过”是你见过几次的地方，但你不是很熟悉。“见过一次”是你只见过一次的地方，包括通过魔法看到。“听过描述”指的是一个你从别人那里听来位置和外观的地点，比如从地图上看来的。
“查无此地”是根本不存在的地点。也许你尝试探知敌人的密室但看到的只是幻像，或者是一个你曾经熟悉但如今已不再存在的地点。
目标正确：你和你的队伍（或目标物体）出现在你想让它们出现的地点。
目标错误：你和你的队伍（或目标物体）出现在目的地随机方向上随机距离的一点。距离误差是原定移动距离的 1d10 x 1d10 %。举例：如果你尝试移动120英里，不幸目标错误，并且在投距离误差的两个d10时投出了5和3，那么你的传送距离误差是原定移动距离的15%，也就是18英里。DM通过投掷一个d8来判误差出现在目的地的哪个方向上。1是正北，2是东北，3是正东，依此类推。如果你们想要传送到一个海滨城市但却出现在离岸边18英里远的海上，那你们可有麻烦了。
相似地区：你和你的队伍（或目标物体）出现在一个和目的地外观或氛围相似的不同地点。例如，如果你想回你自己的研究室去，你可能会误打误撞出现在别的法师的研究室里，或是一个陈设有许多和你的研究室里相似的工具的炼金用品店。通常来说，你会出现在离目的地最近的相似地区，但由于该法术没有距离限制，你有可能会出现在同一个位面上的任何地点。
遇难：这道法术难以预测的特性导致这次旅行特别艰难。所有试图传送的生物（或目标物体）受到3d10点立场伤害，随后DM重投d100并查阅上表来决定你们出现在哪里（你们可能再次遇难，每次遇难都要受到伤害）。",,诗人,,,,,术士,,法师
5,Teleportation Circle 传送法阵,咒法,1分钟,10尺,V M,1轮, ,,,稀有的墨水和镶有价值50金币宝石的珍稀粉笔，施法时消耗,"当你施放这道法术时，你在地上画出一个直径十英尺的圆圈，并在它周围画出符文。这个圆形法阵将你所处的位置与你选择的一个与你处在同位面上的永久性传送法阵相连（你必须知道该法阵的符文序列）。在圆圈中有一个发光的传送门打开，一直持续到你的下一回合结束。任何进入传送门的生物将立刻出现在目标法阵附近5英尺内（如果该空间已被占据，则出现在最靠近目标法阵的未被占据的空间）。
许多神殿、公会和其他重要的场所都在其中某处设有永久性的传送法阵。这种法阵各有自己的符文序列——按特定顺序排列的一串魔法文字。当你最初获得施放这道法术的能力时，你会知道物质位面上两个永久法阵的符文序列（由DM决定）。你可以在你的旅途中习得更多的符文序列。你只要花一分钟仔细研究一个新的符文序列就能够记住它。
如果你想要设立一个永久性的传送法阵，你必须在一年内每天在同一个地点施放一次该法术。当你如此施放该法术时，你不必要使用法阵进行传送。",,诗人,,,,,术士,,法师
1,Tenser's Floating Disk 谭森浮碟术,咒法,1个动作,30尺,V S M,1小时, ,,仪式,一滴水银,"这道法术在法术距离内一个你能看到的未被占据的空间内创造出一个由力场构成的水平面，直径三英尺、厚一英寸，并让它浮在离地三英尺的地方。这个浮碟一直存在到法术时效结束，并且能最多承担500磅的重量。如果放在浮碟上的物体重量超过了500磅，则法术立刻结束，浮碟上的所有东西都掉到地上。
只要你和浮碟间的距离不超过20英尺，浮碟就不会移动。如果你移动到离浮碟20英尺以外的地方，则它将跟随你移动，保持在你身边20英尺内。浮碟可以通过崎岖地形，可以上楼下楼，也可以通过斜坡之类，但它不能改变高度超过10英尺。举例来说，浮碟不能越过一个10英尺深的坑；如果浮碟是在坑里被创造出来的，那么它无法离开这个深坑。
如果你和浮碟间的距离超过100英尺（通常是因为它受障碍物所阻无法跟上你），则法术立刻结束。",,,,,,,,,法师
0,Thaumaturgy 奇术,变化,1个动作,30尺,V,1分钟, ,,,,"你在法术距离内展示出一个低级奇观，表现出你的超自然能力。你在法术距离内创造出下列魔法效果中的一种：
·你的声音在一分钟内变得比常人响两倍。
·你在一分钟内使一团火焰闪烁、变亮、变暗或变色。
·你使地面震动一分钟（完全无害）。
·你使某种声音自法术距离内的一点瞬间发出，例如雷鸣声、鸦叫声或不祥的低语声。
·你使一扇没有锁上的门或窗瞬间打开或关上。
·你在一分钟内改变你眼睛的颜色。
如果你多次施放该法术，你可以同时维持最多三个持续一分钟的效果。你也可以花费一个动作驱散这种效果。",,,牧师,,,,,,
0,Thorn Whip 刺鞭术,变化,1个动作,30尺,V S M,立即, ,,,一根来自带刺植物的茎干,"你创造出一条藤蔓般的带刺长鞭。你一声令下，那长鞭便挥向法术距离内的一个生物。你对目标进行一次近战法术攻击。如果命中，则目标受到1d6点穿刺伤害，并且如果目标生物的体型是大型或更小，则你将目标生物朝你的方向拉近最多10英尺。
你到达5级时，该法术的伤害增加1d6（变为2d6）。11级时再加1d6（变为3d6），17级时再加1d6（变为4d6）。",,,,德鲁伊,,,,,
1,Thunderous Smite 雷鸣斩,塑能,1个附加动作,自身,V,1分钟,专注,力量,,,在法术失效前，当你下一次用武器击中一个生物时，你的武器发出方圆300英尺内都能听见的雷霆巨响。这次攻击对目标造成额外的2d6点雷鸣伤害。另外，如果目标是一个生物，它必须要进行一次力量豁免检定，若失败就会被推离10英尺并且倒地不起。,,,,,圣武士,,,,
1,Thunderwave 雷鸣波,塑能,1个动作,自身（边长15英尺正方体）,V S M,立即,,体质,,,"一道雷鸣波从你的身体向外扫去。在以你为起点的边长15英尺正方体内的每个生物都要进行一次体质豁免检定。若一个生物豁免失败，它将受到2d8点雷鸣伤害并且被推离10英尺。若豁免成功，则它只受一半伤害，而且不会被推离。
除此之外，所有完全位于效果区域内而且没有被固定住的物体都将自动被推离10英尺。这道法术会发出方圆300英尺内都能听见的雷霆巨响。",当你使用2环或更高的法术位施放该法术时，使用的法术位每高一环，法术的伤害就增加1d8。,诗人,,德鲁伊,,,术士,,法师
9,Time Stop 时间停止,变化,1个动作,自身,V,立即, ,,,,"你使时间在除你之外所有生物的世界中暂时停止流动。你一次性进行1d4+1个回合，在这段过程内时间对于其他生物来说是静止的，但你可以像正常一样移动和使用动作。
在法术时效内，如果你的一个动作——或任何你创造出来的效果——影响到了除你之外的任何生物或正被除你之外任何生物穿戴着或携带着的物体，则法术立刻结束。",,,,,,,术士,,法师
3,Tongues 巧言术,预言,1个动作,接触,V M,1小时, ,,,一个陶制阶梯金字塔小模型,你触碰一个生物，这道法术的魔力便让它能够听懂它听见的任何语言。除此之外，当目标生物说话时，任何能听见它说话并且知道至少一种语言的生物都能听懂它的话。,,诗人,牧师,,,,术士,邪术士,法师
6,Transport via Plants 木遁术,咒法,1个动作,10尺,V S,1轮, ,,,,这道法术将一株法术距离内的大型或更大的静态植物用魔法与同位面上任意距离外的另一株植物连接起来。你必须见过或触碰过出口植物至少一次。在法术时效内，任何生物可以花费5英尺移动力进入目标植物内，然后从出口植物处出来。,,,,德鲁伊,,,,,
5,Tree Stride 融身入林,咒法,1个动作,自身,V S,1分钟,专注,,,,"你能够进入树木中，并从树木内部移动到500英尺内的一棵同类树木内。两棵树必须都是活的，而且至少要和你一样大。进入一棵树要消耗5英尺移动力。进入树后，你将立刻知道500英尺内所有同类树木的位置，并且作为你进入树木使用的移动的一部分，你可以选择进入这些同类树木中的一棵，或走出你所在的树木中。你将出现在出口树木周围5英尺范围内你选择的一点——这要另外消耗5英尺移动力。如果你的移动力已经用完了，你将出现在你进入的树木周围5英尺内。
在法术时效内，你每轮可以使用一次这样的传送能力。你必须在树外结束你的回合。",,,,德鲁伊,,游侠,,,
9,True Polymorph 完全变形术,变化,1个动作,30尺,V S M,1小时,专注,感知,,一滴水银，一团阿拉伯树胶*2以及一缕烟,"选择法术距离内一个你能看见的生物或物体。你将目标生物变成另一个生物，将目标生物变成一个物体，或将目标物体变成一个生物（该物体必须没有被任何生物穿戴着或携带着）。这个变形效果持续到法术时效结束、目标的生命值降到0或目标死亡为止。如果你在整个法术时效内一直保持该法术的专注，则变形将永久有效。
变形怪不受该法术影响。不愿被变形的生物可以进行一次感知豁免检定，成功就不受该法术影响。
生物变生物。如果你将一个生物变形成另一种生物，它的新形态可以是你选择的任何挑战等级等于或低于受术者挑战等级（或人物等级，如果受术者没有挑战等级）的物种。受术者的游戏数据（包括精神属性值）被新形态的数据取代，但阵营和性格不变。
受术者的生命值和生命骰变成和新形态一样。当受术者变回原形时，其生命值变回变形前它所拥有的。如果受术者是因为生命值降到0以下而变回原形的，那么任何多余的伤害都会转嫁到它的正常形态上。只要多余的伤害不足以把受术者在正常形态下的生命值也降到0，它就不会昏迷。
受术生物的行为能力将受到新形态的性质限制，而且它不能说话、施法或进行任何需要手势或语言的动作，除非它的新形态能做到这些。
受术者的装备将融入新的形体中。受术者不能启动、使用、挥舞或以其他任何方式受益于它的任何装备。
物体变生物。你可以将一个物体变成任何一种符合下列要求的生物：生物的体积不能大于原物体，并且生物的挑战等级必须低于或等于9。变形出的生物对你和你的同伴是友好的。战斗中它会在你的回合中行动。你决定它如何行动。DM手里有该生物的数据，由DM来判定它的行动结果如何。
如果这道法术变成永久有效，则你不再能控制该生物。它也许依然会对你友好——这取决于你怎样对待它。
生物变物体。如果你将一个生物变形成一个物体，则它连带它穿着和带着的一切东西变成新的形态。受术者的数据变成和该物体一样。在法术结束、受术者变回原形后，它不会记得在变成物体时发生的任何事。",,诗人,,,,,,邪术士,法师
9,True Resurrection 完全复生术,死灵,1小时,接触,V S M,立即, ,,,"少量圣水以及至少价值25,000金币的钻石，施法时消耗","你触碰一个已死的生物。目标必须死亡没有超过两百年，并且死因不能是老死。如果以上条件全部满足，而且受术生物的灵魂愿意并且能够回来，则受术生物以生命值全满的状态复活。
这道法术能弥合一切创伤、中和一切毒素、治愈一切疾病，并且会解除生前影响受术生物的一切诅咒。这道法术能补好受伤或失去的器官和肢体。
如果受术生物的遗体已经不再存在，这道法术甚至能给它再造一个新的身体。在这种情况下，你必须喊出该生物的名字，随后该生物便出现在你选中的周围10英尺内未被占据的一点。",,,牧师,德鲁伊,,,,,
6,True Seeing 真知术,预言,1个动作,接触,V S M,1小时, ,,,消耗由蘑菇粉、藏红花和油脂制成，价值25金币的眼药膏,"
你触碰一个自愿的生物，让这道法术赋予它看到事物真实面目的能力。在法术时效内，受术者拥有真实视觉，能发现被魔法隐藏的暗门，也能看到以太界。真知术可看穿的距离为120英尺。",,诗人,牧师,,,,术士,邪术士,法师
0,True Strike 克敌机先,预言,1个动作,30尺,S,1分钟,专注,,,,你伸出手，手指指向法术距离内的一个生物。你的魔力让你在刹那间看穿了目标的防御。在你的下一回合，只要该法术还没有结束，你在对目标的第一次攻击检定上将拥有优势。,,诗人,,,,,术士,邪术士,法师
8,Tsunami 海啸术,咒法,1分钟,视距,V S,6轮,专注,力量,,,"在法术距离内你选择的一点出现了一面水墙。这面水墙长度不超过300英尺、高度不超过300英尺、厚度不超过50英尺。这面水墙持续到法术结束为止。
当水墙出现时，所有位于水墙区域内的生物都要进行一次力量豁免检定。若一个生物豁免失败，它将受到6d10点钝击伤害；豁免成功则只受一半伤害。
水墙出现后，在你的每回合开始时，水墙——以及其中的所有生物——将向远离你的方向移动50英尺。当水墙移入一个巨型或更小的生物所占据的空间时，该生物必须要进行一次力量豁免检定，失败则受到5d10点钝击伤害。同一个生物每轮只会受到这种伤害一次。在你的回合结束时，水墙的高度减少50英尺，并且在后面的战斗轮中该法术对生物造成的伤害也减少1d10。当水墙高度变为0英尺时法术结束。
被淹在水墙中的生物可以藉由游泳来移动，但由于波涛的阻力影响，该生物必须要进行一次力量（运动）检定对抗你的法术豁免DC才能成功移动。如果该生物检定失败了，则它不能移动。移动出水墙区域的生物会直接掉到地上。",,,,德鲁伊,,,术士,,
1,Unseen Servant 隐形仆役,咒法,1个动作,60尺,V S M,1小时,专注,,,一根线和一块木头,"这道法术创造出一股不可见、无心智、无形体的力量。在法术结束之前，你可以指挥它进行简单的工作。仆役被创造出来后出现在法术距离内的一块空地上。它的AC是10，生命值是1，力量是2，而且不能攻击。若仆役的生命值降到0，则法术结束。
你可以在你的每个回合内使用一个附赠动作在心中对仆役下达命令，使它移动最多15英尺并与一个物体进行互动。仆役可以做人类仆人能做到的简单工作，例如拿取东西、打扫卫生、修补东西、叠衣服、点火、上菜、倒酒等。一旦你下达了命令，仆役就会尽全力去做你命令它做的工作，直到完成，随后它便会等待你的下一个命令。
如果你命令仆役做一件需要它离开你身边60英尺的工作，则法术立刻结束。",,诗人,,,,,,邪术士,法师
3,Vampiric Touch 吸血鬼之触,死灵,1个动作,自身,V S,1分钟,专注,,,,你的手上环绕着阴影，只要触碰一下就可以吸取他人的生命力来治疗你自己的伤。对你触及范围内的一个生物进行一次近战法术攻击。若命中，则目标受到3d6点暗蚀伤害，并且你回复数值等于造成的暗蚀伤害的一半的生命值。在法术结束前，你在你的每个回合内都能花费一个动作来再进行一次这样的攻击。,当你使用4环或更高的法术位施放该法术时，使用的法术位每高一环，法术的伤害就增加1d6。,,,,,,,邪术士,法师
0,Vicious Mockery 恶言相加,附魔,1个动作,60尺,V,立即, ,,,,"你对法术距离内一个你能看见的生物吐出一串带有隐秘法力的辱骂言辞。如果目标能听见你说话（不一定要听懂），它就必须要进行一次感知豁免检定，若失败则受到1d4点精神伤害并且目标在它下一回合结束前进行的第一次攻击检定上有劣势。
你到达5级时，该法术的伤害增加1d4（变为2d4）。11级时再加1d4（变为3d4），17级时再加1d4（变为4d4）",,诗人,,,,,,,
4,Wall of Fire 火墙术,塑能,1个动作,120尺,V S M,1分钟,专注,敏捷,,一小块磷,"你在法术距离内一块坚实的地面上创造出一面火墙。你可以造出长度不超过60英尺、高度不超过20英尺、厚度不超过1英尺的直线型火墙，也可以造出直径不超过20英尺、高度不超过20英尺、厚度不超过1英尺的环形火墙。这面火墙是不透明的，并且持续存在到法术结束为止。
当火墙出现时，所有位于火墙区域内的生物都要进行一次敏捷豁免检定。若一个生物豁免失败，它将受到5d8点火焰伤害；豁免成功则只受一半伤害。
当你施放该法术时，你要选择火墙的哪一侧会造成伤害。当一个生物在火墙的这一侧10英尺或在火墙内结束它的回合时，它将受到5d8点火焰伤害。当一个生物在它的回合中第一次进入火墙或在火墙内结束它的回合时，它也会受到同样的伤害。火墙的另一侧不造成任何伤害。",当你使用5环或更高的法术位施放该法术时，使用的法术位每高一环，法术的伤害就增加1d8。,,,德鲁伊,,,术士,,法师
5,Wall of Force 力墙术,塑能,1个动作,120尺,V S M,10分钟,专注,,,少量碾碎纯净宝石制成的粉末,"一面看不见的力墙出现在法术距离内你选择的一点。这面力墙的方向由你决定：你可以使力墙成为水平或垂直的结界，亦可以使它成一定倾角。它可以浮在空中，也可以立于地上。你可以将它塑成半球体或球体（半径最长10英尺），也可以塑成一个由十个十英尺见方板块构成的平面。每块板块都必须要和至少一块其他板块相连。不管形状如何，力墙的厚度总是四分之一英尺。力墙持续存在到法术结束为止。如果力墙形成时穿过了某个生物所占据的空间，则该生物会被推到力墙的一侧（由你决定推到哪一侧）。
没有任何事物可以以物理途径穿过力墙。力墙免疫所有伤害，也不能被解除魔法解除，但解离术可以立即摧毁它。力墙能够延伸进以太位面，因此连以太体的移动都能阻挡。",,,,,,,,,法师
6,Wall of Ice 冰墙术,塑能,1个动作,120尺,V S M,10分钟,专注,敏捷/体质,,一小块石英,"你在法术距离内一块坚实的地面上创造出一面冰墙。你可以将它塑成半球体或球体（半径最长10英尺），也可以塑成一个由十个十英尺见方板块构成的平面。每块板块都必须要和至少一块其他板块相连。不管形状如何，冰墙总是厚一英尺并且持续存在到法术结束为止。
如果冰墙形成时穿过了某个生物所占据的空间，则该生物会被推到冰墙的一侧并且必须进行一次敏捷豁免检定。若豁免失败，则该生物受到10d6点寒冷伤害；成功则只受一半伤害。
作为一个物体，冰墙可以受到伤害而被打破。冰墙的AC是12，每段10英尺长的冰墙有30点生命值，而且冰墙对火焰伤害有易伤。当一段10英尺长的冰墙的生命值降到0时，这段冰墙会被摧毁，但在原地会留下一片冰冷刺骨的空气。当一个生物在一回合中第一次通过这片寒气时，它必须要进行一次体质豁免检定。若豁免失败，则它受到5d6点寒冷伤害；成功则只受一半伤害。
升环效果：当你使用7环或更高的法术位施放该法术时，使用的法术位每高一环，冰墙刚出现时造成的伤害就增加2d6，并且通过寒气时受到的伤害也增加1d6。",,,,,,,,,法师
